file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,SCF_E,delE_dft
PHEN_red_0_cutoff_7.5.inp.out,268.80975433959213,-0.3269,0.1681,21.4104,47.0,-1309.217829491,23.05416905584334,16.253249869185527,-5162.8718635543,0.309295896599906
PHEN_red_100_cutoff_7.5.inp.out,271.29395740543663,-0.3246,0.1736,32.8658,54.0,-1306.8738279769,31.266034411555147,-0.758798738253876,-5689.1828160766,0.311020858500342
PHEN_red_101_cutoff_7.5.inp.out,268.35544735862095,-0.3397,0.1541,38.7556,55.0,-1306.825456835,18.95297341084801,18.10298807850284,-5764.7040658605,0.3216970737003066
PHEN_red_102_cutoff_7.5.inp.out,272.3425912675193,-0.3406,0.1571,36.9863,53.0,-1307.0776831079,-28.54048963903941,-18.149043363526147,-5613.928572967,0.3209734435004066
PHEN_red_103_cutoff_7.5.inp.out,266.6277453014414,-0.3237,0.1543,29.1659,55.0,-1306.8663860387,-60.75764307273693,-15.038301527435951,-5764.7172697284,0.3078252719997181
PHEN_red_104_cutoff_7.5.inp.out,269.70448518737487,-0.3175,0.1721,24.6906,55.0,-1306.3415246611,-46.36659085129029,-29.73871136835784,-5764.1575420737,0.302204014599738
PHEN_red_105_cutoff_7.5.inp.out,265.7586834118524,-0.3051,0.1744,29.7746,59.0,-1305.4726275107,4.367214720856318,13.321803791002653,-6065.4525198289,0.294885526199323
PHEN_red_106_cutoff_7.5.inp.out,266.18153520612884,-0.3128,0.1566,25.2802,59.0,-1304.8790430383,24.28165429641818,17.864158941566277,-6064.8608947206,0.3059760029991594
PHEN_red_107_cutoff_7.5.inp.out,267.5575070821116,-0.3529,0.1348,24.6458,58.0,-1305.7761395718,73.12287176624152,22.180823040129408,-5990.2357827626,0.3298853849000807
PHEN_red_108_cutoff_7.5.inp.out,266.2869990477444,-0.3226,0.1617,26.3459,59.0,-1305.0933251836,26.834226285570903,-19.972146058912088,-6065.0442498888,0.308813300899601
PHEN_red_109_cutoff_7.5.inp.out,268.0026345039382,-0.3147,0.1716,25.6827,56.0,-1305.9518473729,-3.758311032390631,-49.80881954900628,-5839.3402705916,0.3060394906005967
PHEN_red_10_cutoff_7.5.inp.out,270.4681737856302,-0.3191,0.1696,20.8907,53.0,-1307.0939316616,72.50052683919004,7.877042851183131,-5613.9388458001,0.3046011752003323
PHEN_red_110_cutoff_7.5.inp.out,265.19043706152127,-0.3375,0.1436,19.1325,52.0,-1307.5308230001,-32.65070924053589,-72.89394658068566,-5538.7984875777,0.3247412407999945
PHEN_red_111_cutoff_7.5.inp.out,267.09285406687445,-0.3241,0.1528,24.935,56.0,-1306.2184238922,60.22868832943834,-113.18798208938276,-5839.6310743904,0.3078256077997139
PHEN_red_112_cutoff_7.5.inp.out,267.2774300612059,-0.3298,0.1548,16.8473,56.0,-1306.4088224253,36.8009283536374,-85.51001629176783,-5839.7919980957,0.3144479172997307
PHEN_red_113_cutoff_7.5.inp.out,266.1933483130303,-0.3288,0.1539,18.2283,51.0,-1307.8194371672,-9.589014294416351,-67.2558419692828,-5463.5750738378,0.3181962871994983
PHEN_red_114_cutoff_7.5.inp.out,268.13513544430026,-0.3464,0.1344,15.1701,50.0,-1308.4277088124,13.41169629408593,-46.69550645343696,-5388.616698734,0.3270303239996792
PHEN_red_115_cutoff_7.5.inp.out,267.7593791500172,-0.3309,0.1613,20.5891,54.0,-1306.7220408636,55.11193131204461,-85.66223690197695,-5689.0626379917,0.3202518807993328
PHEN_red_116_cutoff_7.5.inp.out,269.2653628414209,-0.3211,0.1745,5.301,56.0,-1306.077448924,4.774923698288335,-25.683948202880945,-5839.4593839926,0.3119728093997764
