file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
PHEO_red_0_cutoff_0.0.inp.out,256.75561045656065,-0.2742,0.0938,11.4457,0.0,-1324.6345094374,99.17870024588767,43.54025824433099,-1629.8730320112,0.26923366270011684
PHEO_red_100_cutoff_0.0.inp.out,255.48838273051845,-0.2973,0.0773,11.2336,0.0,-1324.9883778265,-97.31098279708942,-190.9914804725085,-1630.2460188023,0.2898224876000768
PHEO_red_101_cutoff_0.0.inp.out,258.45965755044847,-0.2859,0.0800,9.9843,0.0,-1324.7807127908,-19.768801799362627,-233.04093197920665,-1629.9943556552,0.27720842610006
PHEO_red_102_cutoff_0.0.inp.out,252.42876492916554,-0.2738,0.0833,11.0179,0.0,-1324.9642841718,-227.9769934719945,-395.1607378383844,-1630.1890588435,0.27117757130008613
PHEO_red_103_cutoff_0.0.inp.out,258.8410538518534,-0.2837,0.0800,10.9553,0.0,-1324.8379832399,-232.50247325706013,-358.1292044026031,-1630.0640348822,0.27782083459987916
PHEO_red_104_cutoff_0.0.inp.out,255.002136857652,-0.3009,0.0772,11.8331,0.0,-1324.8121136889,118.69433954891404,197.63283490168175,-1630.0595349544,0.29604257560004044
PHEO_red_105_cutoff_0.0.inp.out,257.49118949527514,-0.2617,0.1005,10.8455,0.0,-1324.4456286336,273.57639336391685,374.37447156470944,-1629.6454680109,0.2556974154999807
PHEO_red_106_cutoff_0.0.inp.out,258.57819758004104,-0.2957,0.0603,10.5163,0.0,-1324.8504945782,-15.446243956411928,77.34910939983888,-1630.0650842319,0.28411692420013424
PHEO_red_107_cutoff_0.0.inp.out,253.3288076963395,-0.2838,0.0845,11.5162,0.0,-1324.7606165041,172.7975685322626,191.74751568155608,-1629.9806766651,0.2779941250000775
PHEO_red_108_cutoff_0.0.inp.out,261.3518434967831,-0.2897,0.0740,10.0587,0.0,-1324.7572027751,115.04529923503024,133.54978439986584,-1629.9815180421,0.28105486949993974
PHEO_red_109_cutoff_0.0.inp.out,252.38144206942275,-0.2834,0.0814,11.5290,0.0,-1325.1797749134,443.3204819908078,580.3053942143259,-1630.3779459661,0.2743477199001063
PHEO_red_10_cutoff_0.0.inp.out,257.5094138080596,-0.2753,0.0915,11.1607,0.0,-1325.1307342657,-15.84318495590265,-110.34418399764544,-1630.3586944644,0.27072686240012445
PHEO_red_110_cutoff_0.0.inp.out,260.3463152751482,-0.2680,0.0832,11.8613,0.0,-1325.1421594825,265.98609923883623,419.08413297714964,-1630.3742459213,0.2630533786000342
PHEO_red_111_cutoff_0.0.inp.out,253.29223960736408,-0.2675,0.0923,12.3887,0.0,-1325.0569092578,268.99165920145083,256.6364927538387,-1630.2620630408,0.2587730710001779
PHEO_red_112_cutoff_0.0.inp.out,257.53618548796027,-0.2700,0.0956,11.3782,0.0,-1325.0308748383,77.64315574678803,51.23529892071453,-1630.2320732262,0.2624133808001261
PHEO_red_113_cutoff_0.0.inp.out,253.89724928172703,-0.2769,0.0784,12.0289,0.0,-1325.1722492093,-150.90809955166472,-137.2855959464721,-1630.3803844396,0.2694141624999702
PHEO_red_114_cutoff_0.0.inp.out,257.899272624383,-0.2686,0.0862,11.3459,0.0,-1324.9909176735,191.7828197862874,107.34910288655176,-1630.2189958389,0.2655661558999327
PHEO_red_115_cutoff_0.0.inp.out,254.9712406598413,-0.3079,0.0705,11.7887,0.0,-1324.9021892623,155.1680413713655,351.31493107055775,-1630.1536253912,0.3006082572999276
