file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,SCF_E,delE_dft
PHEO_red_0_cutoff_0.0.inp.out,256.75561045656065,-0.1993,0.2322,9.1294,0.0,-1324.6345094374,101.81013188544104,46.58208834566205,-1627.779112164,0.2773268420996828
PHEO_red_100_cutoff_0.0.inp.out,255.48838273051845,-0.2199,0.1963,8.9769,0.0,-1324.9883778265,-85.98538047353517,-179.62231577242798,-1628.1505538906,0.3037691801000619
PHEO_red_101_cutoff_0.0.inp.out,258.45965755044847,-0.2069,0.2233,8.0835,0.0,-1324.7807127908,-13.402505019377395,-225.14481961646007,-1627.9037934657,0.2886196422005014
PHEO_red_102_cutoff_0.0.inp.out,252.4287649291655,-0.2056,0.219,8.7115,0.0,-1324.9642841718,-223.2976234286506,-391.4140485542078,-1628.1061362983,0.2864500458008479
PHEO_red_103_cutoff_0.0.inp.out,258.8410538518534,-0.211,0.2106,8.5154,0.0,-1324.8379832399,-221.65725213532983,-343.98363192125635,-1627.9755950018,0.2857003399003588
PHEO_red_104_cutoff_0.0.inp.out,255.002136857652,-0.2317,0.197,9.6334,0.0,-1324.8121136889,128.8234100815857,210.4617018056829,-1627.9750741931,0.3060820037999292
PHEO_red_105_cutoff_0.0.inp.out,257.49118949527514,-0.1877,0.2428,8.4708,0.0,-1324.4456286336,283.4109690689962,387.6028658968428,-1627.5592529777,0.271943766700133
PHEO_red_106_cutoff_0.0.inp.out,258.57819758004104,-0.2134,0.2167,8.3856,0.0,-1324.8504945782,-13.737751186526728,87.08406160488526,-1627.9778159741,0.2903205144002641
PHEO_red_107_cutoff_0.0.inp.out,253.3288076963395,-0.2127,0.2101,8.8923,0.0,-1324.7606165041,187.45478564501917,213.72691359438753,-1627.9008421152,0.2835523858993838
PHEO_red_108_cutoff_0.0.inp.out,261.3518434967831,-0.2129,0.2115,8.1036,0.0,-1324.7572027751,116.321904501653,139.1295126545658,-1627.8947036111,0.2964699516005566
PHEO_red_109_cutoff_0.0.inp.out,252.38144206942275,-0.2034,0.2167,9.334,0.0,-1325.1797749134,444.7439327201144,596.4617056155604,-1628.2931462967,0.2766757632998633
PHEO_red_10_cutoff_0.0.inp.out,257.5094138080596,-0.2046,0.2298,8.8448,0.0,-1325.1307342657,-14.594798487443924,-107.0302479845313,-1628.2732986582,0.2821297492992016
PHEO_red_110_cutoff_0.0.inp.out,260.3463152751482,-0.1963,0.2314,9.1629,0.0,-1325.1421594825,273.879750236795,430.1824917302389,-1628.2821376427,0.2729197872995428
PHEO_red_111_cutoff_0.0.inp.out,253.29223960736408,-0.1898,0.2235,9.6224,0.0,-1325.0569092578,286.8437008990701,285.5191080108613,-1628.1754990544,0.2741652743006852
PHEO_red_112_cutoff_0.0.inp.out,257.53618548796027,-0.1932,0.2357,8.9187,0.0,-1325.0308748383,91.61999933648836,72.10292196212886,-1628.1458498595,0.2676631790000101
PHEO_red_113_cutoff_0.0.inp.out,253.89724928172703,-0.2006,0.2053,9.4398,0.0,-1325.1722492093,-136.13014769605903,-114.89118262692276,-1628.2964351641,0.279070854299789
PHEO_red_114_cutoff_0.0.inp.out,257.899272624383,-0.2022,0.2243,8.7509,0.0,-1324.9909176735,209.13903461398584,136.5404055900602,-1628.1355979101,0.2705034356004034
PHEO_red_115_cutoff_0.0.inp.out,254.9712406598413,-0.2326,0.1912,9.2658,0.0,-1324.9021892623,163.04242097125433,367.8079171031413,-1628.0686775212,0.3044328084006338
PHEO_red_116_cutoff_0.0.inp.out,257.1992151896746,-0.2134,0.2131,9.794,0.0,-1324.8922748244,306.13192709235216,302.4136582827095,-1628.0522587594,0.2889370504999533
PHEO_red_117_cutoff_0.0.inp.out,260.65958646347895,-0.2222,0.2119,8.9418,0.0,-1324.9598576677,267.77186334399426,429.8944380742564,-1628.1265526206,0.2879519109001194
PHEO_red_118_cutoff_0.0.inp.out,256.33686384741276,-0.2277,0.2065,10.4535,0.0,-1324.7055629269,193.38005515505415,247.4657939116781,-1627.8978708674,0.2971904391006319
PHEO_red_119_cutoff_0.0.inp.out,257.72573057486244,-0.2178,0.2008,9.7183,0.0,-1325.1746937746,330.1981126933327,437.6498335865668,-1628.3273908614,0.2897497852000015
PHEO_red_11_cutoff_0.0.inp.out,256.2984349749558,-0.2228,0.1975,8.8598,0.0,-1324.9203142461,-151.55999661740248,-228.0785396400773,-1628.0757580398,0.2974149146002673
PHEO_red_120_cutoff_0.0.inp.out,257.5898065703383,-0.2219,0.2059,9.2038,0.0,-1324.9993785934,140.42290375692363,245.27005017035532,-1628.1650591387,0.2979884420001326
PHEO_red_121_cutoff_0.0.inp.out,255.1569398710627,-0.2046,0.2304,9.5196,0.0,-1324.7617921038,298.38392683695116,384.5420717972456,-1627.9017711194,0.2825769695000417
PHEO_red_122_cutoff_0.0.inp.out,256.87723688192705,-0.1971,0.2193,8.8751,0.0,-1324.6907528993,256.62457825763556,372.4806340306912,-1627.8223360912,0.2782860035003978
PHEO_red_123_cutoff_0.0.inp.out,255.3659342410845,-0.2183,0.2123,9.4407,0.0,-1325.0577165675,286.9603266158676,439.97807299158944,-1628.2212554621,0.2968093817007684
