file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
INDO_red_0_cutoff_0.0.inp.out,395.80558483122326,-0.3287,0.0425,4.2633,0.0,-1325.1296000001,-5.088116413585762,-5.879696818161023,-1686.6248603833,0.3315879290000794
INDO_red_100_cutoff_0.0.inp.out,397.620286721493,-0.2939,0.0783,3.6286,0.0,-1325.0756565743,-12.90872714516807,-13.533951579054525,-1686.5746604856,0.295742084199901
INDO_red_101_cutoff_0.0.inp.out,395.0559826994941,-0.3075,0.0613,2.9083,0.0,-1325.3855136256,-2.457960689687812,0.6755720035258713,-1686.8751595848,0.3110291945999961
INDO_red_102_cutoff_0.0.inp.out,399.0241836753944,-0.3159,0.0636,4.0353,0.0,-1325.4347618038,2.187525450451805,2.841566103667459,-1686.9293171788,0.3158574167000552
INDO_red_103_cutoff_0.0.inp.out,397.5360096046588,-0.3153,0.0651,4.3095,0.0,-1325.0216138172,1.6247895809371207,-2.0467221631774124,-1686.5076787339,0.3182739893998132
INDO_red_104_cutoff_0.0.inp.out,397.03605112383235,-0.3045,0.0613,3.8342,0.0,-1324.8978305736,-2.2336270997316467,-1.382029797550808,-1686.3870630062,0.3067539931000738
INDO_red_105_cutoff_0.0.inp.out,395.9231235700643,-0.3094,0.0656,2.9605,0.0,-1325.0553921973,-9.381174786540107,-21.135642884691826,-1686.5376532059,0.3098182501998963
INDO_red_106_cutoff_0.0.inp.out,396.4858078464947,-0.2861,0.0766,3.3099,0.0,-1325.2022044368,-16.563491273209046,-34.5702410677944,-1686.6793305757,0.28951612259993453
INDO_red_107_cutoff_0.0.inp.out,397.9720970490326,-0.2833,0.0787,4.3504,0.0,-1325.0682541065,6.532886119589297,-2.286278063578093,-1686.5526381362,0.28651172089985266
INDO_red_108_cutoff_0.0.inp.out,397.25459316619,-0.2813,0.0819,2.7499,0.0,-1325.3280953438,2.2953190645622867,1.0387839233943632,-1686.8116209101,0.2857497038000929
INDO_red_109_cutoff_0.0.inp.out,395.0071010978532,-0.2956,0.0669,3.9509,0.0,-1325.4422152379,-3.5935446877573933,-4.635956839977117,-1686.9242992364,0.3002579988001344
INDO_red_10_cutoff_0.0.inp.out,394.56713194669516,-0.2805,0.0770,3.6760,0.0,-1325.1666291515,-8.145485063040573,-7.214567866001244,-1686.6435460515,0.28311125449999963
INDO_red_110_cutoff_0.0.inp.out,400.16304705839923,-0.2792,0.0983,3.4401,0.0,-1325.4780290896,-2.263216327178648,-5.901256663306804,-1686.9771545485,0.27985665459982556
INDO_red_111_cutoff_0.0.inp.out,395.78649501674806,-0.2804,0.0848,3.6033,0.0,-1325.6346461046,2.4766875455277204,-3.0393716002263176,-1687.1153577695,0.28289642710001317
INDO_red_112_cutoff_0.0.inp.out,395.3196979093637,-0.2817,0.0848,3.4107,0.0,-1325.8800779328,1.4381150163597247,-5.537086348571602,-1687.356435031,0.281230991700113
INDO_red_113_cutoff_0.0.inp.out,396.062824351751,-0.2906,0.0726,3.4576,0.0,-1325.4173705655,-3.9430024493542364,-4.891888129545913,-1686.9078255883,0.2931942533998608
