file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,SCF_E,delE_dft
PHEI_red_0_cutoff_0.0.inp.out,269.80139944741285,-0.1605,0.1937,2.6365,0.0,-1325.4998715616,-7.891166524132887,-8.309402461719506,-1631.0620191308,0.1559599673992124
PHEI_red_100_cutoff_0.0.inp.out,269.93170248952754,-0.162,0.1762,2.3499,0.0,-1325.7196376718,3.7317254742606463,16.98985356659919,-1631.2850445024,0.157818487100485
PHEI_red_101_cutoff_0.0.inp.out,268.3730554909716,-0.1466,0.1972,3.2497,0.0,-1325.6105288653,1.0422125680613723,2.50703983663145,-1631.1586917305,0.1384468751002714
PHEI_red_102_cutoff_0.0.inp.out,270.7060908198657,-0.1653,0.1961,2.649,0.0,-1325.6452953475,-2.302939439833287,-1.9660591759666344,-1631.2189193366,0.155884791900462
PHEI_red_103_cutoff_0.0.inp.out,272.30779753165024,-0.1584,0.2066,2.3296,0.0,-1325.4998077943,10.436658221703595,7.362936985281851,-1631.0744842781,0.1472109545993589
PHEI_red_104_cutoff_0.0.inp.out,271.0580051327243,-0.1392,0.206,1.7797,0.0,-1325.4479700278,5.200391930152146,6.226140081631223,-1630.9985375093,0.1339632017998155
PHEI_red_105_cutoff_0.0.inp.out,271.37783454526124,-0.1468,0.2045,2.2552,0.0,-1325.3031033163,1.3515799149966836,0.538958662159702,-1630.8587736835,0.1455007038994153
PHEI_red_106_cutoff_0.0.inp.out,271.32712204567093,-0.1433,0.2063,2.2905,0.0,-1325.3884516822,1.9846445825902883,4.24252430527648,-1630.9517345545,0.138214933400377
PHEI_red_107_cutoff_0.0.inp.out,269.0669157926989,-0.1213,0.228,2.5135,0.0,-1325.5282911954,-2.53107539392222,10.36547534248636,-1631.0906335369,0.1162350864997279
PHEI_red_108_cutoff_0.0.inp.out,267.3745480282019,-0.1328,0.2186,2.6978,0.0,-1325.3882701891,0.8202468115252701,11.379855607323604,-1630.9545759475,0.1378214462001779
PHEI_red_109_cutoff_0.0.inp.out,266.8907428926448,-0.1414,0.2221,2.7168,0.0,-1325.5812279557,0.3656074126816162,1.4744096386786825,-1631.141086132,0.1381654534998233
PHEI_red_10_cutoff_0.0.inp.out,267.10282047813615,-0.1508,0.2069,2.5894,0.0,-1325.2996496172,-2.1096892361273016,-4.784420882491541,-1630.8540990673,0.1498078391996387
PHEI_red_110_cutoff_0.0.inp.out,264.1428113342627,-0.1569,0.2032,2.013,0.0,-1325.6971049882,0.999487265812138,1.2304616720180923,-1631.2394857143,0.1475791168995783
PHEI_red_111_cutoff_0.0.inp.out,266.4795094930537,-0.1358,0.2133,1.966,0.0,-1326.031482623,-1.945126305303405,-4.8141388498861595,-1631.572198857,0.1315455332996862
PHEI_red_112_cutoff_0.0.inp.out,266.33667391032145,-0.1197,0.23,1.3365,0.0,-1326.2146186856,0.3810669881923501,0.0266059195934683,-1631.7509451254,0.116517148299863
PHEI_red_113_cutoff_0.0.inp.out,267.74028987252825,-0.1334,0.2177,1.5315,0.0,-1325.8384145154,-0.148165218013462,1.456017020476062,-1631.3931505806,0.1249144813000384
PHEI_red_114_cutoff_0.0.inp.out,269.0099729221695,-0.1368,0.2187,3.0726,0.0,-1325.9148947361,2.2694404153703873,2.569265473479756,-1631.4794237342,0.1406583713996951
PHEI_red_115_cutoff_0.0.inp.out,267.05539894998304,-0.153,0.1866,3.3561,0.0,-1325.4921776565,-3.588029520297132,8.398325485475532,-1631.0514892024,0.1483710155007429
PHEI_red_116_cutoff_0.0.inp.out,268.2492640621659,-0.1401,0.2241,2.9966,0.0,-1325.6760678425,0.5922791125464966,2.572841445697883,-1631.244545754,0.1326053490993217
PHEI_red_117_cutoff_0.0.inp.out,270.8558241479216,-0.1457,0.2114,2.0186,0.0,-1325.4820499073,3.924180350685517,4.0868097866145465,-1631.0439615092,0.143799381899953
PHEI_red_118_cutoff_0.0.inp.out,268.5477753964063,-0.1263,0.2257,2.149,0.0,-1325.191443419,4.415474739508828,8.57130116877769,-1630.7418334323,0.1198020327001359
PHEI_red_119_cutoff_0.0.inp.out,272.40964332137185,-0.1354,0.2159,2.3565,0.0,-1325.4793475692,-6.378849565261897,-4.819508873522884,-1631.0438387603,0.1344501585999751
PHEI_red_11_cutoff_0.0.inp.out,265.1207115122651,-0.147,0.2109,2.3071,0.0,-1325.1005390934,5.575150314900055,12.694379031888666,-1630.6462072442,0.1434396328004368
PHEI_red_120_cutoff_0.0.inp.out,271.3056685413176,-0.1343,0.2135,1.8839,0.0,-1325.2173320177,0.8039443568995784,0.7870997031227746,-1630.7635616193,0.13041618690022
PHEI_red_121_cutoff_0.0.inp.out,269.0212541277819,-0.1423,0.2135,3.6777,0.0,-1325.537928298,2.652484088740548,6.31618466236263,-1631.0911191141,0.1378124901002593
PHEI_red_122_cutoff_0.0.inp.out,269.68558472357984,-0.149,0.1894,3.2453,0.0,-1325.4392349013,-7.478369611946387,-0.3503837815552033,-1630.9976019628,0.1437277095001263
PHEI_red_123_cutoff_0.0.inp.out,267.5310585062923,-0.1334,0.2098,3.6725,0.0,-1325.5677878361,-0.1296811774613981,-2.011264236747126,-1631.1216316538,0.1281751963006172
PHEI_red_124_cutoff_0.0.inp.out,268.93350730810084,-0.1273,0.2205,3.0963,0.0,-1325.3948562953,-5.636266864280662,-5.345013934964911,-1630.9526287759,0.1293098125006508
PHEI_red_125_cutoff_0.0.inp.out,268.6448477665381,-0.1252,0.224,3.2875,0.0,-1325.2746977308,-4.971186180440461,-9.507944787039465,-1630.8382743003,0.1257353110995609
PHEI_red_126_cutoff_0.0.inp.out,264.4316090705662,-0.1373,0.2124,3.1255,0.0,-1325.7110181042,-5.645326122240335,-15.068612599448745,-1631.2541163622,0.1373980992993893
PHEI_red_127_cutoff_0.0.inp.out,266.80292828188607,-0.1443,0.2154,2.6088,0.0,-1325.104386297,-24.974676126506328,-24.320166204852853,-1630.6601329445,0.1464394107006228
PHEI_red_128_cutoff_0.0.inp.out,268.26704856080363,-0.1317,0.2269,2.5212,0.0,-1325.3886106225,-13.506372244324533,-17.944616572019847,-1630.9454168343,0.1280128795006021
PHEI_red_129_cutoff_0.0.inp.out,266.55304324823277,-0.1311,0.2202,2.8567,0.0,-1325.1859699253,-12.506224799463396,-2.8276415588995305,-1630.7452151505,0.1327164717004052
PHEI_red_12_cutoff_0.0.inp.out,267.8929257421881,-0.1351,0.2185,2.4984,0.0,-1325.2387135213,4.566319327312676,4.0524712919900985,-1630.7961866666,0.1302865270999973
PHEI_red_130_cutoff_0.0.inp.out,266.91709896929086,-0.1366,0.2191,3.1806,0.0,-1325.3112985694,-5.943035133525001,-5.211135740490059,-1630.8682144909,0.127432444200167
PHEI_red_131_cutoff_0.0.inp.out,271.71756327705396,-0.1468,0.1984,2.4602,0.0,-1325.5557973702,-1.730383356979461,-2.9333776622626435,-1631.1240388905,0.1401506197998969
PHEI_red_132_cutoff_0.0.inp.out,268.65569276976714,-0.1626,0.2011,1.6807,0.0,-1325.060087344,2.121756634166084,-0.5738743162019093,-1630.633421127,0.1580516394005826
PHEI_red_133_cutoff_0.0.inp.out,267.7559805430694,-0.143,0.223,2.5786,0.0,-1325.3729936859,-1.3728268482478934,2.1002549912853694,-1630.9339781774,0.1390840353997191
PHEI_red_134_cutoff_0.0.inp.out,269.5436950295924,-0.1572,0.2103,2.377,0.0,-1325.2577821776,-3.384132398666684,-4.5780753670959236,-1630.8223758975,0.1626561983994179
PHEI_red_135_cutoff_0.0.inp.out,269.52434214391985,-0.1537,0.2017,1.843,0.0,-1325.2680844559,-0.1620722261498968,-1.7794092808708144,-1630.8233947553,0.1540455784006553
PHEI_red_136_cutoff_0.0.inp.out,269.4390523206499,-0.1722,0.184,3.2482,0.0,-1325.3217922107,-21.218405569120147,-23.495609281845823,-1630.8852110919,0.1677907729999788
PHEI_red_137_cutoff_0.0.inp.out,271.05495097995316,-0.1354,0.2173,2.6869,0.0,-1325.5222268114,-3.9618772173710943,-8.19258534956464,-1631.0899442344,0.1414034911995259
PHEI_red_138_cutoff_0.0.inp.out,267.5209579193215,-0.1545,0.2011,2.6303,0.0,-1325.2422826399,-7.131982528175543,-7.32281238043901,-1630.8023466865,0.1546043157004533
PHEI_red_139_cutoff_0.0.inp.out,268.4512059276945,-0.1494,0.2109,2.7309,0.0,-1325.4971294291,-0.8820657853465603,-8.667632570695174,-1631.0611315958,0.1488922595999611
PHEI_red_13_cutoff_0.0.inp.out,269.91227482586163,-0.1366,0.2189,2.664,0.0,-1325.018400765,-5.382943558254751,-3.58208718281856,-1630.5790372556,0.1334667231994899
PHEI_red_140_cutoff_0.0.inp.out,271.71964300360855,-0.1449,0.2128,2.2386,0.0,-1325.3338930435,1.114009586770413,-11.71124488078194,-1630.909979261,0.1420909193002444
